Features,Importance,Importance_abs,model_name,model_function,scenario_id,scenario_name,feature_selection_info_id,threshold_id,train_parameters_info_id
band gap dpat_ok for band gap,-0.022378584852714115,0.022378584852714115,logistic_regression,train_model_logistic_regression_cv,SCENARIO_churn_classification_686bd5fc-abdd-437f-a4b2-dfd0048c333c,churn_classification,DATANODE_feature_selection_info_2d89ab86-4a87-450e-87eb-3ee96de197d0,DATANODE_threshold_logistic_regression_e82c941b-1a58-43a4-8087-56c5d358b1e4,DATANODE_train_parameters_info_logistic_regression_dd5ed220-b137-4477-9aed-951a76094760
FAILING_BINOUTS(1) of 1103959_69_1133529_cp1_cp1p5_YPP_GbSbPoPo,-0.00010016931234504472,0.00010016931234504472,logistic_regression,train_model_logistic_regression_cv,SCENARIO_churn_classification_686bd5fc-abdd-437f-a4b2-dfd0048c333c,churn_classification,DATANODE_feature_selection_info_2d89ab86-4a87-450e-87eb-3ee96de197d0,DATANODE_threshold_logistic_regression_e82c941b-1a58-43a4-8087-56c5d358b1e4,DATANODE_train_parameters_info_logistic_regression_dd5ed220-b137-4477-9aed-951a76094760
AC_SENSE_CRN 2 of 1103959_69_1133592_RPP,9.62551697760057e-06,9.62551697760057e-06,logistic_regression,train_model_logistic_regression_cv,SCENARIO_churn_classification_686bd5fc-abdd-437f-a4b2-dfd0048c333c,churn_classification,DATANODE_feature_selection_info_2d89ab86-4a87-450e-87eb-3ee96de197d0,DATANODE_threshold_logistic_regression_e82c941b-1a58-43a4-8087-56c5d358b1e4,DATANODE_train_parameters_info_logistic_regression_dd5ed220-b137-4477-9aed-951a76094760
AC_V_AFE_CRN_5_8_8_P_F 2 of 1103959_69_1133592_RPP,5.8380016590225125e-05,5.8380016590225125e-05,logistic_regression,train_model_logistic_regression_cv,SCENARIO_churn_classification_686bd5fc-abdd-437f-a4b2-dfd0048c333c,churn_classification,DATANODE_feature_selection_info_2d89ab86-4a87-450e-87eb-3ee96de197d0,DATANODE_threshold_logistic_regression_e82c941b-1a58-43a4-8087-56c5d358b1e4,DATANODE_train_parameters_info_logistic_regression_dd5ed220-b137-4477-9aed-951a76094760
SensorOffsetHot-Cold,0.0019173818627759298,0.0019173818627759298,logistic_regression,train_model_logistic_regression_cv,SCENARIO_churn_classification_686bd5fc-abdd-437f-a4b2-dfd0048c333c,churn_classification,DATANODE_feature_selection_info_2d89ab86-4a87-450e-87eb-3ee96de197d0,DATANODE_threshold_logistic_regression_e82c941b-1a58-43a4-8087-56c5d358b1e4,DATANODE_train_parameters_info_logistic_regression_dd5ed220-b137-4477-9aed-951a76094760
Radius,0.030293483595880702,0.030293483595880702,logistic_regression,train_model_logistic_regression_cv,SCENARIO_churn_classification_686bd5fc-abdd-437f-a4b2-dfd0048c333c,churn_classification,DATANODE_feature_selection_info_2d89ab86-4a87-450e-87eb-3ee96de197d0,DATANODE_threshold_logistic_regression_e82c941b-1a58-43a4-8087-56c5d358b1e4,DATANODE_train_parameters_info_logistic_regression_dd5ed220-b137-4477-9aed-951a76094760
band gap dpat_ok for band gap,4.65,4.65,baseline,train_model_baseline,SCENARIO_churn_classification_686bd5fc-abdd-437f-a4b2-dfd0048c333c,churn_classification,DATANODE_feature_selection_info_2d89ab86-4a87-450e-87eb-3ee96de197d0,DATANODE_threshold_baseline_90e83c4d-fa7b-4e7a-8e18-bdb5263e8eeb,DATANODE_train_parameters_info_baseline_80d9c4e1-ce80-40c7-8a6a-93262ba9c358
SensorOffsetHot-Cold,56.6,56.6,baseline,train_model_baseline,SCENARIO_churn_classification_686bd5fc-abdd-437f-a4b2-dfd0048c333c,churn_classification,DATANODE_feature_selection_info_2d89ab86-4a87-450e-87eb-3ee96de197d0,DATANODE_threshold_baseline_90e83c4d-fa7b-4e7a-8e18-bdb5263e8eeb,DATANODE_train_parameters_info_baseline_80d9c4e1-ce80-40c7-8a6a-93262ba9c358
Radius,96.9,96.9,baseline,train_model_baseline,SCENARIO_churn_classification_686bd5fc-abdd-437f-a4b2-dfd0048c333c,churn_classification,DATANODE_feature_selection_info_2d89ab86-4a87-450e-87eb-3ee96de197d0,DATANODE_threshold_baseline_90e83c4d-fa7b-4e7a-8e18-bdb5263e8eeb,DATANODE_train_parameters_info_baseline_80d9c4e1-ce80-40c7-8a6a-93262ba9c358
FAILING_BINOUTS(1) of 1103959_69_1133529_cp1_cp1p5_YPP_GbSbPoPo,0.0,0.0,xgboost,train_model_xgboost_optuna,SCENARIO_churn_classification_686bd5fc-abdd-437f-a4b2-dfd0048c333c,churn_classification,DATANODE_feature_selection_info_2d89ab86-4a87-450e-87eb-3ee96de197d0,DATANODE_threshold_xgboost_29d03053-a422-4a2f-9118-558404cc4fc5,DATANODE_train_parameters_info_xgboost_e1003833-939e-4cf4-b6a2-71a6545d0cde
